alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0072 41.108001 0.001001 16.879362 0.000362 0.010 0.010 OT OT15 0.2305 0.0200 1 41.109002 16.879723 0.000 NULL
A0073 41.509200 0.000000 14.553200 0.000000 0.745 0.000 ING BAI2 0.0000 0.0000 0 41.509200 14.553200 0.745 0.746
A0074 43.767200 0.000000 12.125300 0.000000 0.857 0.000 ARE BAL1 0.0000 0.0000 0 43.767200 12.125300 0.857 0.860
A0075 45.683000 0.000000 10.818700 0.000000 1.911 0.000 RSF BALD 0.0000 0.0000 0 45.683000 10.818700 1.911 1.892
A0075 45.683000 0.000000 10.818700 0.000000 1.911 0.000 OX BALD 0.0000 0.0000 1 45.683000 10.818700 1.911 NULL
A0076 45.780700 0.000000 10.862500 0.000000 1.751 0.000 RSF BALI 0.0000 0.0000 0 45.780700 10.862500 1.751 1.722
A0077 42.300550 0.000750 13.593050 0.000250 0.853 0.000 ABR BARI 0.0000 0.0000 0 42.301300 13.593300 0.853 0.858
A0077 42.300550 0.000750 13.593050 0.000250 0.853 0.000 RSA BRS1 0.1716 0.0000 1 42.299800 13.592800 0.853 0.858
A0078 43.381534 0.000033 12.435683 0.000017 0.643 0.000 ING BAT1 0.0000 0.0000 0 43.381500 12.435700 0.643 0.642
A0078 43.381534 0.000033 12.435683 0.000017 0.643 0.000 IV TB01 0.0079 0.0000 1 43.381567 12.435667 0.643 NULL
A0079 43.370458 0.000042 12.409333 0.000033 0.691 0.000 ING BAT2 0.0000 0.0000 0 43.370500 12.409300 0.691 0.695
A0079 43.370458 0.000042 12.409333 0.000033 0.691 0.000 IV TB02 0.0107 0.0000 1 43.370417 12.409367 0.691 NULL
A0080 43.401320 0.000020 12.410320 0.000020 0.580 0.000 ING BAT3 0.0000 0.0000 0 43.401300 12.410300 0.580 0.578
A0080 43.401320 0.000020 12.410320 0.000020 0.580 0.000 IV TB03 0.0055 0.0000 1 43.401340 12.410340 0.580 NULL
A0081 47.464500 0.000000 7.509170 0.000000 0.700 0.000 UNKNOWN BBS 0.0000 0.0000 0 47.464500 7.509170 0.700 0.667
A0081 47.464500 0.000000 7.509170 0.000000 0.700 0.000 ING BBS 0.0000 0.0000 1 47.464500 7.509170 0.700 0.667
A0082 42.366667 0.000047 20.067500 0.000000 0.496 0.006 UNKNOWN BCI 0.0000 0.0000 0 42.366700 20.067500 0.500 0.487
A0082 42.366667 0.000047 20.067500 0.000000 0.496 0.006 UNKNOWN BCR 0.0000 0.0130 1 42.366700 20.067500 0.487 0.487
A0082 42.366667 0.000047 20.067500 0.000000 0.496 0.006 AC BCI 0.0111 0.0000 1 42.366600 20.067499 0.500 NULL
A0083 44.062400 0.000200 10.596720 0.000560 0.851 0.028 ING BD1 0.0000 0.0000 0 44.062300 10.597000 0.900 0.802
A0083 44.062400 0.000200 10.596720 0.000560 0.851 0.028 GEN BDI 0.0000 0.0700 1 44.062300 10.597000 0.830 0.802
A0083 44.062400 0.000200 10.596720 0.000560 0.851 0.028 ING BDI 0.0000 0.0700 1 44.062300 10.597000 0.830 NULL
A0083 44.062400 0.000200 10.596720 0.000560 0.851 0.028 IV BDI 0.1252 0.0360 1 44.062800 10.595600 0.864 NULL
A0084 42.283500 0.000000 18.827800 0.000000 0.385 0.000 UNKNOWN BDV 0.0000 0.0000 0 42.283500 18.827800 0.385 0.163
A0085 40.817950 0.000300 14.438767 0.000066 0.873 0.020 OSV BE1 0.0000 0.0000 0 40.817800 14.438800 0.863 0.851
A0085 40.817950 0.000300 14.438767 0.000066 0.873 0.020 OSV BE2 0.0000 0.0000 1 40.817800 14.438800 0.863 0.851
